DIA,GRUPO ET√ÅRIO,CASOS_CONFIRMADOS,OBITOS
20 SET 2020,60-69,52.0,2.0
20 SET 2020,70-79,47.0,2.0
20 SET 2020,80+,40.0,9.0
21 SET 2020,0-9,35.0,0.0
21 SET 2020,10-19,56.0,0.0
21 SET 2020,20-29,106.0,0.0
21 SET 2020,30-39,125.0,0.0
21 SET 2020,40-49,113.0,0.0
21 SET 2020,50-59,76.0,0.0
21 SET 2020,60-69,45.0,1.0
21 SET 2020,70-79,33.0,3.0
21 SET 2020,80+,33.0,4.0
22 SET 2020,0-9,30.0,0.0
22 SET 2020,10-19,31.0,0.0
22 SET 2020,20-29,61.0,0.0
22 SET 2020,30-39,70.0,0.0
22 SET 2020,40-49,85.0,0.0
22 SET 2020,50-59,60.0,0.0
22 SET 2020,60-69,57.0,0.0
22 SET 2020,70-79,33.0,1.0
22 SET 2020,80+,39.0,4.0
23 SET 2020,0-9,44.0,0.0
23 SET 2020,10-19,66.0,0.0
23 SET 2020,20-29,135.0,0.0
23 SET 2020,30-39,145.0,0.0
23 SET 2020,40-49,108.0,0.0
23 SET 2020,50-59,111.0,0.0
23 SET 2020,60-69,71.0,0.0
23 SET 2020,70-79,59.0,0.0
23 SET 2020,80+,64.0,3.0
24 SET 2020,0-9,37.0,0.0
24 SET 2020,10-19,61.0,0.0
24 SET 2020,20-29,94.0,0.0
24 SET 2020,30-39,93.0,0.0
24 SET 2020,40-49,127.0,0.0
24 SET 2020,50-59,109.0,0.0
24 SET 2020,60-69,72.0,1.0
24 SET 2020,70-79,56.0,0.0
24 SET 2020,80+,41.0,2.0
25 SET 2020,0-9,63.0,0.0
25 SET 2020,10-19,67.0,0.0
25 SET 2020,20-29,149.0,0.0
25 SET 2020,30-39,149.0,0.0
25 SET 2020,40-49,137.0,0.0
25 SET 2020,50-59,141.0,0.0
25 SET 2020,60-69,90.0,0.0
25 SET 2020,70-79,55.0,1.0
25 SET 2020,80+,50.0,4.0
26 SET 2020,0-9,52.0,0.0
26 SET 2020,10-19,75.0,0.0
26 SET 2020,20-29,138.0,0.0
26 SET 2020,30-39,149.0,0.0
26 SET 2020,40-49,126.0,0.0
26 SET 2020,50-59,112.0,0.0
26 SET 2020,60-69,73.0,2.0
26 SET 2020,70-79,60.0,0.0
26 SET 2020,80+,99.0,6.0
27 SET 2020,0-9,37.0,0.0
27 SET 2020,10-19,53.0,0.0
27 SET 2020,20-29,116.0,0.0
27 SET 2020,30-39,110.0,0.0
27 SET 2020,40-49,93.0,0.0
27 SET 2020,50-59,83.0,0.0
27 SET 2020,60-69,58.0,0.0
27 SET 2020,70-79,45.0,1.0
27 SET 2020,80+,27.0,8.0
28 SET 2020,0-9,29.0,0.0
28 SET 2020,10-19,40.0,0.0
28 SET 2020,20-29,57.0,0.0
28 SET 2020,30-39,81.0,0.0
28 SET 2020,40-49,72.0,0.0
28 SET 2020,50-59,50.0,0.0
28 SET 2020,60-69,37.0,0.0
28 SET 2020,70-79,32.0,1.0
28 SET 2020,80+,28.0,3.0
29 SET 2020,0-9,37.0,0.0
29 SET 2020,10-19,46.0,0.0
29 SET 2020,20-29,131.0,0.0
29 SET 2020,30-39,115.0,0.0
29 SET 2020,40-49,104.0,0.0
29 SET 2020,50-59,79.0,0.0
29 SET 2020,60-69,63.0,0.0
29 SET 2020,70-79,49.0,1.0
29 SET 2020,80+,65.0,5.0
30 SET 2020,0-9,54.0,0.0
30 SET 2020,10-19,84.0,0.0
30 SET 2020,20-29,128.0,0.0
30 SET 2020,30-39,132.0,0.0
30 SET 2020,40-49,126.0,0.0
30 SET 2020,50-59,115.0,0.0
30 SET 2020,60-69,72.0,1.0
30 SET 2020,70-79,57.0,0.0
30 SET 2020,80+,57.0,7.0
01 OUT 2020,0-9,53.0,0.0
01 OUT 2020,10-19,85.0,0.0
01 OUT 2020,20-29,126.0,0.0
01 OUT 2020,30-39,120.0,0.0
01 OUT 2020,40-49,147.0,0.0
01 OUT 2020,50-59,108.0,1.0
01 OUT 2020,60-69,80.0,0.0
01 OUT 2020,70-79,55.0,2.0
01 OUT 2020,80+,73.0,3.0
02 OUT 2020,0-9,51.0,0.0
02 OUT 2020,10-19,85.0,0.0
02 OUT 2020,20-29,135.0,0.0
02 OUT 2020,30-39,132.0,0.0
02 OUT 2020,40-49,144.0,0.0
02 OUT 2020,50-59,122.0,0.0
02 OUT 2020,60-69,84.0,0.0
02 OUT 2020,70-79,58.0,2.0
02 OUT 2020,80+,76.0,4.0
03 OUT 2020,0-9,60.0,0.0
03 OUT 2020,10-19,75.0,0.0
03 OUT 2020,20-29,170.0,0.0
03 OUT 2020,30-39,153.0,0.0
03 OUT 2020,40-49,141.0,0.0
03 OUT 2020,50-59,123.0,1.0
03 OUT 2020,60-69,91.0,0.0
03 OUT 2020,70-79,66.0,4.0
03 OUT 2020,80+,78.0,7.0
04 OUT 2020,0-9,65.0,0.0
04 OUT 2020,10-19,89.0,0.0
04 OUT 2020,20-29,125.0,0.0
04 OUT 2020,30-39,124.0,0.0
04 OUT 2020,40-49,138.0,0.0
04 OUT 2020,50-59,136.0,1.0
04 OUT 2020,60-69,82.0,2.0
04 OUT 2020,70-79,58.0,2.0
04 OUT 2020,80+,92.0,5.0
05 OUT 2020,0-9,36.0,0.0
05 OUT 2020,10-19,48.0,0.0
05 OUT 2020,20-29,118.0,0.0
05 OUT 2020,30-39,111.0,0.0
05 OUT 2020,40-49,131.0,0.0
05 OUT 2020,50-59,107.0,0.0
05 OUT 2020,60-69,82.0,
05 OUT 2020,70-79,46.0,
05 OUT 2020,80+,54.0,
06 OUT 2020,0-9,14.0,0.0
06 OUT 2020,10-19,24.0,0.0
06 OUT 2020,20-29,87.0,0.0
06 OUT 2020,30-39,69.0,0.0
06 OUT 2020,40-49,78.0,0.0
06 OUT 2020,50-59,61.0,0.0
06 OUT 2020,60-69,38.0,
06 OUT 2020,70-79,28.0,
06 OUT 2020,80+,28.0,
07 OUT 2020,0-9,47.0,0.0
07 OUT 2020,10-19,62.0,0.0
07 OUT 2020,20-29,168.0,0.0
07 OUT 2020,30-39,151.0,1.0
07 OUT 2020,40-49,162.0,0.0
07 OUT 2020,50-59,120.0,1.0
07 OUT 2020,60-69,107.0,0.0
07 OUT 2020,70-79,73.0,0.0
07 OUT 2020,80+,54.0,6.0
08 OUT 2020,0-9,76.0,0.0
08 OUT 2020,10-19,112.0,0.0
08 OUT 2020,20-29,219.0,0.0
08 OUT 2020,30-39,210.0,0.0
08 OUT 2020,40-49,219.0,0.0
08 OUT 2020,50-59,176.0,0.0
08 OUT 2020,60-69,124.0,0.0
08 OUT 2020,70-79,61.0,1.0
08 OUT 2020,80+,81.0,9.0
09 OUT 2020,0-9,58.0,0.0
09 OUT 2020,10-19,130.0,0.0
09 OUT 2020,20-29,275.0,0.0
09 OUT 2020,30-39,212.0,0.0
09 OUT 2020,40-49,267.0,0.0
09 OUT 2020,50-59,196.0,0.0
09 OUT 2020,60-69,130.0,1.0
09 OUT 2020,70-79,62.0,0.0
09 OUT 2020,80+,63.0,11.0
10 OUT 2020,0-9,58.0,0.0
10 OUT 2020,10-19,190.0,0.0
10 OUT 2020,20-29,316.0,0.0
10 OUT 2020,30-39,273.0,0.0
10 OUT 2020,40-49,250.0,0.0
10 OUT 2020,50-59,231.0,1.0
10 OUT 2020,60-69,158.0,0.0
10 OUT 2020,70-79,98.0,1.0
10 OUT 2020,80+,88.0,3.0
11 OUT 2020,0-9,31.0,0.0
11 OUT 2020,10-19,97.0,0.0
11 OUT 2020,20-29,224.0,0.0
11 OUT 2020,30-39,171.0,0.0
11 OUT 2020,40-49,150.0,0.0
11 OUT 2020,50-59,153.0,1.0
11 OUT 2020,60-69,91.0,0.0
11 OUT 2020,70-79,76.0,1.0
11 OUT 2020,80+,96.0,11.0
12 OUT 2020,0-9,64.0,0.0
12 OUT 2020,10-19,114.0,0.0
12 OUT 2020,20-29,276.0,0.0
12 OUT 2020,30-39,198.0,0.0
12 OUT 2020,40-49,182.0,0.0
12 OUT 2020,50-59,145.0,0.0
12 OUT 2020,60-69,100.0,0.0
12 OUT 2020,70-79,78.0,5.0
12 OUT 2020,80+,92.0,9.0
13 OUT 2020,0-9,53.0,0.0
13 OUT 2020,10-19,81.0,0.0
13 OUT 2020,20-29,218.0,0.0
13 OUT 2020,30-39,191.0,0.0
13 OUT 2020,40-49,202.0,0.0
13 OUT 2020,50-59,181.0,0.0
13 OUT 2020,60-69,121.0,1.0
13 OUT 2020,70-79,83.0,4.0
13 OUT 2020,80+,79.0,11.0
14 OUT 2020,0-9,94.0,0.0
14 OUT 2020,10-19,200.0,0.0
14 OUT 2020,20-29,384.0,0.0
14 OUT 2020,30-39,316.0,0.0
14 OUT 2020,40-49,346.0,0.0
14 OUT 2020,50-59,295.0,0.0
14 OUT 2020,60-69,194.0,1.0
14 OUT 2020,70-79,118.0,1.0
14 OUT 2020,80+,127.0,5.0
15 OUT 2020,0-9,83.0,0.0
15 OUT 2020,10-19,190.0,0.0
15 OUT 2020,20-29,449.0,0.0
15 OUT 2020,30-39,342.0,0.0
15 OUT 2020,40-49,366.0,1.0
15 OUT 2020,50-59,282.0,1.0
15 OUT 2020,60-69,171.0,0.0
15 OUT 2020,70-79,101.0,1.0
15 OUT 2020,80+,120.0,8.0
16 OUT 2020,0-9,94.0,0.0
16 OUT 2020,10-19,198.0,0.0
16 OUT 2020,20-29,473.0,0.0
16 OUT 2020,30-39,418.0,0.0
16 OUT 2020,40-49,425.0,1.0
16 OUT 2020,50-59,363.0,0.0
16 OUT 2020,60-69,239.0,3.0
16 OUT 2020,70-79,151.0,4.0
16 OUT 2020,80+,263.0,13.0
17 OUT 2020,0-9,79.0,0.0
17 OUT 2020,10-19,184.0,0.0
17 OUT 2020,20-29,411.0,0.0
17 OUT 2020,30-39,362.0,0.0
17 OUT 2020,40-49,356.0,0.0
17 OUT 2020,50-59,301.0,1.0
17 OUT 2020,60-69,218.0,1.0
17 OUT 2020,70-79,110.0,4.0
17 OUT 2020,80+,130.0,7.0
18 OUT 2020,0-9,77.0,0.0
18 OUT 2020,10-19,188.0,0.0
18 OUT 2020,20-29,316.0,0.0
18 OUT 2020,30-39,283.0,0.0
18 OUT 2020,40-49,345.0,0.0
18 OUT 2020,50-59,270.0,0.0
18 OUT 2020,60-69,185.0,5.0
18 OUT 2020,70-79,120.0,6.0
18 OUT 2020,80+,72.0,8.0
19 OUT 2020,0-9,89.0,0.0
19 OUT 2020,10-19,184.0,0.0
19 OUT 2020,20-29,360.0,0.0
19 OUT 2020,30-39,298.0,0.0
19 OUT 2020,40-49,343.0,0.0
19 OUT 2020,50-59,305.0,0.0
19 OUT 2020,60-69,196.0,2.0
19 OUT 2020,70-79,102.0,3.0
19 OUT 2020,80+,81.0,12.0
20 OUT 2020,0-9,68.0,0.0
20 OUT 2020,10-19,164.0,0.0
20 OUT 2020,20-29,338.0,0.0
20 OUT 2020,30-39,305.0,0.0
20 OUT 2020,40-49,319.0,0.0
20 OUT 2020,50-59,268.0,0.0
20 OUT 2020,60-69,173.0,1.0
20 OUT 2020,70-79,118.0,4.0
20 OUT 2020,80+,122.0,10.0
21 OUT 2020,0-9,105.0,0.0
21 OUT 2020,10-19,219.0,0.0
21 OUT 2020,20-29,444.0,0.0
21 OUT 2020,30-39,409.0,0.0
21 OUT 2020,40-49,461.0,0.0
21 OUT 2020,50-59,373.0,0.0
21 OUT 2020,60-69,248.0,1.0
21 OUT 2020,70-79,148.0,4.0
21 OUT 2020,80+,126.0,11.0
22 OUT 2020,0-9,143.0,0.0
22 OUT 2020,10-19,299.0,0.0
22 OUT 2020,20-29,576.0,0.0
22 OUT 2020,30-39,486.0,0.0
22 OUT 2020,40-49,556.0,0.0
22 OUT 2020,50-59,487.0,0.0
22 OUT 2020,60-69,282.0,4.0
22 OUT 2020,70-79,208.0,3.0
22 OUT 2020,80+,233.0,9.0
23 OUT 2020,0-9,100.0,0.0
23 OUT 2020,10-19,242.0,0.0
23 OUT 2020,20-29,583.0,0.0
23 OUT 2020,30-39,431.0,0.0
23 OUT 2020,40-49,470.0,0.0
23 OUT 2020,50-59,401.0,0.0
23 OUT 2020,60-69,293.0,3.0
23 OUT 2020,70-79,160.0,4.0
23 OUT 2020,80+,213.0,24.0
24 OUT 2020,0-9,131.0,0.0
24 OUT 2020,10-19,381.0,0.0
24 OUT 2020,20-29,645.0,0.0
24 OUT 2020,30-39,559.0,0.0
24 OUT 2020,40-49,640.0,0.0
24 OUT 2020,50-59,512.0,3.0
24 OUT 2020,60-69,324.0,4.0
24 OUT 2020,70-79,200.0,1.0
24 OUT 2020,80+,263.0,13.0
25 OUT 2020,0-9,104.0,0.0
25 OUT 2020,10-19,227.0,0.0
25 OUT 2020,20-29,492.0,1.0
25 OUT 2020,30-39,404.0,0.0
25 OUT 2020,40-49,437.0,0.0
25 OUT 2020,50-59,386.0,0.0
25 OUT 2020,60-69,236.0,0.0
25 OUT 2020,70-79,135.0,2.0
25 OUT 2020,80+,150.0,16.0
26 OUT 2020,0-9,102.0,0.0
26 OUT 2020,10-19,229.0,0.0
26 OUT 2020,20-29,416.0,0.0
26 OUT 2020,30-39,408.0,0.0
26 OUT 2020,40-49,430.0,0.0
26 OUT 2020,50-59,394.0,1.0
26 OUT 2020,60-69,218.0,2.0
26 OUT 2020,70-79,141.0,9.0
26 OUT 2020,80+,108.0,15.0
27 OUT 2020,0-9,121.0,0.0
27 OUT 2020,10-19,286.0,0.0
27 OUT 2020,20-29,620.0,0.0
27 OUT 2020,30-39,504.0,0.0
27 OUT 2020,40-49,553.0,0.0
27 OUT 2020,50-59,498.0,1.0
27 OUT 2020,60-69,287.0,1.0
27 OUT 2020,70-79,200.0,7.0
27 OUT 2020,80+,230.0,19.0
28 OUT 2020,0-9,145.0,0.0
28 OUT 2020,10-19,361.0,0.0
28 OUT 2020,20-29,645.0,0.0
28 OUT 2020,30-39,659.0,0.0
28 OUT 2020,40-49,657.0,0.0
28 OUT 2020,50-59,579.0,1.0
28 OUT 2020,60-69,368.0,5.0
28 OUT 2020,70-79,233.0,3.0
28 OUT 2020,80+,312.0,15.0
29 OUT 2020,0-9,,0.0
29 OUT 2020,10-19,,0.0
29 OUT 2020,20-29,,0.0
29 OUT 2020,30-39,,0.0
29 OUT 2020,40-49,,0.0
29 OUT 2020,50-59,,0.0
29 OUT 2020,60-69,,0.0
29 OUT 2020,70-79,,0.0
29 OUT 2020,80+,,0.0
30 OUT 2020,0-9,,0.0
30 OUT 2020,10-19,,0.0
30 OUT 2020,20-29,,0.0
30 OUT 2020,30-39,,0.0
30 OUT 2020,40-49,,0.0
30 OUT 2020,50-59,,2.0
30 OUT 2020,60-69,,7.0
30 OUT 2020,70-79,,21.0
30 OUT 2020,80+,,43.0
31 OUT 2020,0-9,164.0,0.0
31 OUT 2020,10-19,389.0,0.0
31 OUT 2020,20-29,667.0,0.0
31 OUT 2020,30-39,610.0,0.0
31 OUT 2020,40-49,680.0,0.0
31 OUT 2020,50-59,553.0,0.0
31 OUT 2020,60-69,382.0,4.0
31 OUT 2020,70-79,239.0,5.0
31 OUT 2020,80+,323.0,30.0
01 NOV 2020,0-9,153.0,0.0
01 NOV 2020,10-19,284.0,0.0
01 NOV 2020,20-29,485.0,0.0
01 NOV 2020,30-39,42.0,0.0
01 NOV 2020,40-49,513.0,0.0
01 NOV 2020,50-59,467.0,2.0
01 NOV 2020,60-69,328.0,2.0
01 NOV 2020,70-79,195.0,9.0
01 NOV 2020,80+,235.0,24.0
02 NOV 2020,0-9,127.0,0.0
02 NOV 2020,10-19,206.0,0.0
02 NOV 2020,20-29,390.0,0.0
02 NOV 2020,30-39,740.0,0.0
02 NOV 2020,40-49,393.0,0.0
02 NOV 2020,50-59,336.0,1.0
02 NOV 2020,60-69,261.0,1.0
02 NOV 2020,70-79,166.0,7.0
02 NOV 2020,80+,247.0,37.0
03 NOV 2020,0-9,129.0,0.0
03 NOV 2020,10-19,239.0,0.0
03 NOV 2020,20-29,382.0,0.0
03 NOV 2020,30-39,384.0,0.0
03 NOV 2020,40-49,446.0,0.0
03 NOV 2020,50-59,372.0,0.0
03 NOV 2020,60-69,251.0,3.0
03 NOV 2020,70-79,187.0,8.0
03 NOV 2020,80+,206.0,34.0
04 NOV 2020,0-9,315.0,0.0
04 NOV 2020,10-19,766.0,0.0
04 NOV 2020,20-29,1307.0,0.0
04 NOV 2020,30-39,1243.0,0.0
04 NOV 2020,40-49,1354.0,1.0
04 NOV 2020,50-59,1175.0,2.0
04 NOV 2020,60-69,648.0,5.0
04 NOV 2020,70-79,350.0,14.0
04 NOV 2020,80+,338.0,37.0
05 NOV 2020,0-9,187.0,0.0
05 NOV 2020,10-19,457.0,0.0
05 NOV 2020,20-29,666.0,0.0
05 NOV 2020,30-39,696.0,0.0
05 NOV 2020,40-49,779.0,1.0
05 NOV 2020,50-59,682.0,2.0
05 NOV 2020,60-69,382.0,4.0
05 NOV 2020,70-79,260.0,8.0
05 NOV 2020,80+,298.0,31.0
06 NOV 2020,0-9,325.0,0.0
06 NOV 2020,10-19,595.0,0.0
06 NOV 2020,20-29,893.0,0.0
06 NOV 2020,30-39,832.0,0.0
06 NOV 2020,40-49,909.0,0.0
06 NOV 2020,50-59,825.0,2.0
06 NOV 2020,60-69,510.0,4.0
06 NOV 2020,70-79,305.0,10.0
06 NOV 2020,80+,269.0,36.0
07 NOV 2020,0-9,332.0,0.0
07 NOV 2020,10-19,730.0,0.0
07 NOV 2020,20-29,1064.0,0.0
07 NOV 2020,30-39,954.0,0.0
07 NOV 2020,40-49,1112.0,0.0
07 NOV 2020,50-59,1075.0,2.0
07 NOV 2020,60-69,564.0,4.0
07 NOV 2020,70-79,368.0,10.0
07 NOV 2020,80+,464.0,40.0
08 NOV 2020,0-9,322.0,0.0
08 NOV 2020,10-19,589.0,0.0
08 NOV 2020,20-29,921.0,0.0
08 NOV 2020,30-39,836.0,0.0
08 NOV 2020,40-49,1033.0,0.0
08 NOV 2020,50-59,934.0,3.0
08 NOV 2020,60-69,509.0,5.0
08 NOV 2020,70-79,296.0,13.0
08 NOV 2020,80+,346.0,27.0
09 NOV 2020,0-9,254.0,0.0
09 NOV 2020,10-19,423.0,0.0
09 NOV 2020,20-29,597.0,0.0
09 NOV 2020,30-39,610.0,0.0
09 NOV 2020,40-49,681.0,1.0
09 NOV 2020,50-59,580.0,3.0
09 NOV 2020,60-69,371.0,5.0
09 NOV 2020,70-79,261.0,7.0
09 NOV 2020,80+,312.0,47.0
10 NOV 2020,0-9,217.0,0.0
10 NOV 2020,10-19,353.0,0.0
10 NOV 2020,20-29,594.0,0.0
10 NOV 2020,30-39,515.0,0.0
10 NOV 2020,40-49,637.0,2.0
10 NOV 2020,50-59,564.0,1.0
10 NOV 2020,60-69,393.0,7.0
10 NOV 2020,70-79,259.0,13.0
10 NOV 2020,80+,288.0,39.0
11 NOV 2020,0-9,267.0,0.0
11 NOV 2020,10-19,487.0,0.0
11 NOV 2020,20-29,744.0,0.0
11 NOV 2020,30-39,772.0,0.0
11 NOV 2020,40-49,888.0,0.0
11 NOV 2020,50-59,711.0,1.0
11 NOV 2020,60-69,465.0,1.0
11 NOV 2020,70-79,294.0,15.0
11 NOV 2020,80+,307.0,65.0
12 NOV 2020,0-9,327.0,0.0
12 NOV 2020,10-19,640.0,0.0
12 NOV 2020,20-29,854.0,0.0
12 NOV 2020,30-39,881.0,1.0
12 NOV 2020,40-49,992.0,0.0
12 NOV 2020,50-59,873.0,3.0
12 NOV 2020,60-69,504.0,5.0
12 NOV 2020,70-79,392.0,19.0
12 NOV 2020,80+,377.0,50.0
13 NOV 2020,0-9,434.0,0.0
13 NOV 2020,10-19,737.0,0.0
13 NOV 2020,20-29,1050.0,0.0
13 NOV 2020,30-39,938.0,0.0
13 NOV 2020,40-49,1197.0,0.0
13 NOV 2020,50-59,991.0,2.0
13 NOV 2020,60-69,600.0,9.0
13 NOV 2020,70-79,371.0,15.0
13 NOV 2020,80+,345.0,43.0
14 NOV 2020,0-9,419.0,0.0
14 NOV 2020,10-19,752.0,0.0
14 NOV 2020,20-29,1040.0,0.0
14 NOV 2020,30-39,971.0,0.0
14 NOV 2020,40-49,1086.0,0.0
14 NOV 2020,50-59,955.0,0.0
14 NOV 2020,60-69,601.0,2.0
14 NOV 2020,70-79,390.0,8.0
14 NOV 2020,80+,386.0,45.0
15 NOV 2020,0-9,324.0,0.0
15 NOV 2020,10-19,589.0,0.0
15 NOV 2020,20-29,833.0,0.0
15 NOV 2020,30-39,835.0,0.0
15 NOV 2020,40-49,1013.0,1.0
15 NOV 2020,50-59,909.0,1.0
15 NOV 2020,60-69,585.0,7.0
15 NOV 2020,70-79,370.0,18.0
15 NOV 2020,80+,577.0,49.0
16 NOV 2020,0-9,503.0,0.0
16 NOV 2020,10-19,685.0,0.0
16 NOV 2020,20-29,102.0,0.0
16 NOV 2020,30-39,515.0,0.0
16 NOV 2020,40-49,784.0,0.0
16 NOV 2020,50-59,701.0,4.0
16 NOV 2020,60-69,436.0,8.0
16 NOV 2020,70-79,265.0,17.0
16 NOV 2020,80+,207.0,62.0
17 NOV 2020,0-9,281.0,0.0
17 NOV 2020,10-19,433.0,0.0
17 NOV 2020,20-29,612.0,0.0
17 NOV 2020,30-39,589.0,0.0
17 NOV 2020,40-49,696.0,0.0
17 NOV 2020,50-59,647.0,2.0
17 NOV 2020,60-69,477.0,3.0
17 NOV 2020,70-79,264.0,21.0
17 NOV 2020,80+,379.0,55.0
18 NOV 2020,0-9,328.0,0.0
18 NOV 2020,10-19,573.0,0.0
18 NOV 2020,20-29,832.0,0.0
18 NOV 2020,30-39,837.0,0.0
18 NOV 2020,40-49,1002.0,2.0
18 NOV 2020,50-59,919.0,0.0
18 NOV 2020,60-69,566.0,6.0
18 NOV 2020,70-79,338.0,9.0
18 NOV 2020,80+,419.0,62.0
19 NOV 2020,0-9,442.0,0.0
19 NOV 2020,10-19,802.0,0.0
19 NOV 2020,20-29,963.0,0.0
19 NOV 2020,30-39,998.0,0.0
19 NOV 2020,40-49,1214.0,2.0
19 NOV 2020,50-59,1078.0,2.0
19 NOV 2020,60-69,689.0,6.0
19 NOV 2020,70-79,413.0,16.0
19 NOV 2020,80+,338.0,43.0
20 NOV 2020,0-9,393.0,0.0
20 NOV 2020,10-19,723.0,0.0
20 NOV 2020,20-29,940.0,0.0
20 NOV 2020,30-39,946.0,0.0
20 NOV 2020,40-49,1089.0,1.0
20 NOV 2020,50-59,921.0,4.0
20 NOV 2020,60-69,640.0,4.0
20 NOV 2020,70-79,369.0,15.0
20 NOV 2020,80+,406.0,37.0
21 NOV 2020,0-9,449.0,0.0
21 NOV 2020,10-19,692.0,0.0
21 NOV 2020,20-29,911.0,1.0
21 NOV 2020,30-39,858.0,0.0
21 NOV 2020,40-49,1040.0,1.0
21 NOV 2020,50-59,1012.0,1.0
21 NOV 2020,60-69,642.0,5.0
21 NOV 2020,70-79,402.0,13.0
21 NOV 2020,80+,425.0,41.0
22 NOV 2020,0-9,302.0,0.0
22 NOV 2020,10-19,459.0,0.0
22 NOV 2020,20-29,619.0,0.0
22 NOV 2020,30-39,671.0,0.0
22 NOV 2020,40-49,805.0,0.0
22 NOV 2020,50-59,711.0,1.0
22 NOV 2020,60-69,496.0,8.0
22 NOV 2020,70-79,317.0,13.0
22 NOV 2020,80+,360.0,51.0
23 NOV 2020,0-9,237.0,0.0
23 NOV 2020,10-19,424.0,0.0
23 NOV 2020,20-29,386.0,0.0
23 NOV 2020,30-39,585.0,0.0
23 NOV 2020,40-49,678.0,0.0
23 NOV 2020,50-59,594.0,4.0
23 NOV 2020,60-69,388.0,3.0
23 NOV 2020,70-79,226.0,21.0
23 NOV 2020,80+,293.0,46.0
24 NOV 2020,0-9,248.0,0.0
24 NOV 2020,10-19,372.0,0.0
24 NOV 2020,20-29,685.0,0.0
24 NOV 2020,30-39,600.0,0.0
24 NOV 2020,40-49,692.0,0.0
24 NOV 2020,50-59,586.0,1.0
24 NOV 2020,60-69,370.0,10.0
24 NOV 2020,70-79,254.0,12.0
24 NOV 2020,80+,245.0,62.0
25 NOV 2020,0-9,305.0,0.0
25 NOV 2020,10-19,884.0,0.0
25 NOV 2020,20-29,688.0,0.0
25 NOV 2020,30-39,720.0,0.0
25 NOV 2020,40-49,887.0,0.0
25 NOV 2020,50-59,814.0,3.0
